,AAPL,AMZN,GOOGL,META,MSFT
count,1257.0,1257.0,1257.0,1257.0,1257.0
mean,36.19411960744441,55.72321827978773,46.223253335095436,142.5945866841974,74.8408556401777
std,11.119988032014174,26.586918554176968,11.259873019143923,37.947220057605755,31.69519114791494
min,20.69725799560547,14.34749984741211,24.79161262512207,73.82771301269531,34.691192626953125
25%,26.253171920776367,33.239498138427734,37.3764533996582,111.84325408935547,47.35832595825195
50%,35.323158264160156,48.38999938964844,47.25997543334961,145.0333251953125,64.98738861083984
75%,44.20884704589844,83.72799682617188,55.85868453979492,176.9771270751953,99.93846130371094
max,70.6558837890625,101.97550201416016,67.95523071289062,216.8470916748047,152.0429229736328
