,AAPL,AMZN,GOOGL,META,MSFT
count,1058.0,1058.0,1058.0,1058.0,1058.0
mean,0.0010925332615174586,0.001279190304998645,0.000722410571177391,0.0008794628381733392,0.0013256671773340684
std,0.015390116032565716,0.017637976740855137,0.014082012266734016,0.01806879995569075,0.014081071218543179
min,-0.09960717570245503,-0.07819674751655215,-0.07501928888051801,-0.18960923395348106,-0.07171035807644588
25%,-0.005634973000173987,-0.006364682116870524,-0.005606400697271557,-0.006514584822359087,-0.005060544476928469
50%,0.0008950697856600076,0.001381763714363049,0.0010483300583152833,0.0009910485144427605,0.0010788395964570485
75%,0.008936204909760548,0.009837472188086394,0.008404351198393,0.010245060706594977,0.008266495393777273
max,0.070421744471731,0.13216381132847022,0.09620227067783893,0.1552143683318279,0.10077010692479815
